0.000000000000000000e+00,3.755140000000000100e+01
4.401300000000000351e-03,4.946540000000000248e+01
1.398199999999999964e-02,6.140440000000000254e+01
3.159200000000000202e-02,6.087440000000000140e+01
5.804700000000000137e-02,6.020600000000000307e+01
9.368300000000000238e-02,5.977360000000000184e+01
1.391199999999999937e-01,6.023680000000000234e+01
1.942699999999999982e-01,6.053359999999999985e+01
2.577400000000000246e-01,6.028320000000000078e+01
3.278699999999999948e-01,6.107460000000000377e+01
4.033499999999999863e-01,6.172079999999999700e+01
4.819300000000000250e-01,6.128800000000000381e+01
5.599300000000000388e-01,6.148560000000000514e+01
6.352600000000000469e-01,6.250300000000000011e+01
7.055299999999999905e-01,6.252140000000000697e+01
7.686500000000000554e-01,6.249200000000000443e+01
8.238299999999999512e-01,6.303580000000000183e+01
8.709799999999999764e-01,6.276860000000000639e+01
9.098899999999999766e-01,6.172259999999999991e+01
9.405200000000000227e-01,6.100999999999999801e+01
9.638499999999999845e-01,6.170779999999999887e+01
9.807099999999999707e-01,6.397720000000000340e+01
9.911600000000000410e-01,6.584380000000000166e+01
9.970099999999999518e-01,6.779220000000000823e+01
9.993600000000000261e-01,6.977800000000000580e+01
9.991100000000000536e-01,6.995040000000000191e+01
9.962900000000000089e-01,6.748819999999999197e+01
9.913100000000000245e-01,6.532340000000000657e+01
9.848000000000000087e-01,6.372760000000000247e+01
9.770799999999999486e-01,6.353840000000000288e+01
9.681800000000000406e-01,6.513040000000000873e+01
9.582199999999999607e-01,6.885779999999999745e+01
9.476299999999999724e-01,7.399720000000000653e+01
9.363599999999999701e-01,8.036080000000001178e+01
9.244299999999999740e-01,8.623820000000000618e+01
9.120200000000000529e-01,9.116240000000000521e+01
8.992799999999999683e-01,9.470900000000000318e+01
8.864100000000000312e-01,9.657339999999999236e+01
8.734600000000000142e-01,9.587619999999999720e+01
8.603699999999999681e-01,9.268479999999999563e+01
8.471899999999999986e-01,8.877280000000000371e+01
8.339600000000000346e-01,8.523900000000000432e+01
8.207600000000000451e-01,8.331219999999999004e+01
8.074700000000000211e-01,8.252859999999999729e+01
7.939800000000000191e-01,8.299280000000000257e+01
